baseline,seed,round,split,accuracy,precision,recall,f1,roc_auc,loss,runtime_s
fedavg,2026,7,val,0.5417595151082985,0.0,0.0,0.0,0.5741393002243976,0.29217092930468364,1342.6700576000003
fedavg,2026,8,val,0.5417595151082985,0.0,0.0,0.0,0.5812302877986701,0.2449108271986015,1531.9737753000009
fedavg,2026,9,val,0.5417595151082985,0.0,0.0,0.0,0.5879067154805474,0.22198382729126687,1721.920045400002
fedavg,2026,10,val,0.5417595151082985,0.0,0.0,0.0,0.594176267816173,0.2116243875019265,1907.8911548000033
fedprox,2026,1,val,0.01907478384882788,0.06504649985343885,0.3059664076209576,0.10728491374574223,0.5070719820721387,0.6704119668732417,194.30349320000096
fedprox,2026,2,val,0.21026829485693913,0.1015672550213025,0.16733517172223614,0.12640848404507146,0.5279294418978256,0.6442553871816381,393.9498416999995
fedprox,2026,3,val,0.4077903556466708,0.14434675935391536,0.08849335673101028,0.10972103504545808,0.5404230647787747,0.6127298129774774,586.2042087000009
fedprox,2026,4,val,0.5070861930653356,0.17841409691629956,0.030458761594384556,0.05203426124197002,0.5526635107974667,0.5660503091462762,781.1503005999984
fedprox,2026,5,val,0.5364114448703093,0.12849162011173185,0.0028829280521433945,0.0056393281843815125,0.5619653618712009,0.4868711074311972,973.5487769000028
fedprox,2026,6,val,0.541492111596399,0.14285714285714285,0.000250689395838556,0.0005005005005005005,0.5680949352505236,0.3816227215035989,1171.4295159999965
fedprox,2026,7,val,0.5417595151082985,0.0,0.0,0.0,0.5738160225079533,0.29555672132476934,1366.5502436000024
fedprox,2026,8,val,0.5417595151082985,0.0,0.0,0.0,0.580865128016496,0.24688946424039335,1561.9043250999966
fedprox,2026,9,val,0.5417595151082985,0.0,0.0,0.0,0.5875217098062645,0.2230532814997043,1758.9042326999988
fedprox,2026,10,val,0.5417595151082985,0.0,0.0,0.0,0.5937756763819861,0.21221637704445936,1958.901955399997
fedprox_dp,2026,1,val,0.018807380336928425,0.06502143563812246,0.2965655552770118,0.10665825181445251,0.503250259942757,0.6704648806296714,202.6644568000047
fedprox_dp,2026,2,val,0.23522595596755505,0.10114575507137491,0.13499623965906243,0.11564479759476003,0.52394989768742,0.6424868922255258,399.3632704000047
fedprox_dp,2026,3,val,0.3866654782066138,0.14420410427066002,0.09776886437703686,0.11653096287443043,0.5398188906006208,0.6154421825961045,602.3055372000017
fedprox_dp,2026,4,val,0.5069079240574026,0.15797665369649805,0.025444973677613437,0.04383029256180503,0.5502391471236561,0.5629333360265927,803.1886458000008
fedprox_dp,2026,5,val,0.5362331758623763,0.16042780748663102,0.0037603409375783405,0.007348438456827923,0.5597306905937431,0.48344765053265915,998.8606158000039
fedprox_dp,2026,6,val,0.5408681700686335,0.0,0.0,0.0,0.567947631553268,0.3759523798585501,1845.1107862000063
fedprox_dp,2026,7,val,0.5416703806043319,0.0,0.0,0.0,0.5732873175016177,0.2874114248951081,2037.5646460999997
fedprox_dp,2026,8,val,0.5417595151082985,0.0,0.0,0.0,0.5760038608253737,0.24580275633615845,2231.4707706000045
fedprox_dp,2026,9,val,0.5417595151082985,0.0,0.0,0.0,0.5874884082933791,0.22023176016872587,2424.1609590000007
fedprox_dp,2026,10,val,0.5418486496122649,0.0,0.0,0.0,0.5950282716314276,0.21052967425665228,2617.2803661
